name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
All Day and All of the Night,The Kinks,Kinks (Deluxe),64,0.551,0.86,7,-7.839,1,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,141507,4,rock
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,71,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,231933,4,rock
American Pie,Don McLean,American Pie,72,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,4,rock
Black Magic Woman - Single Version,Santana,Santana's Greatest Hits,64,0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,196467,4,rock
Last Nite,The Strokes,Is This It,64,0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,193373,4,rock
"American Woman - 7"" Single Version",The Guess Who,American Woman (Expanded Edition),54,0.538,0.841,9,-7.547,1,0.0375,0.0424,0.00177,0.312,0.881,93.077,231640,4,rock
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),74,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453,4,rock
Take Me Home Tonight,Eddie Money,Can't Hold Back,66,0.608,0.768,1,-9.911,1,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,211160,4,rock
Jump - 2015 Remaster,Van Halen,The Collection,53,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,4,rock
Times Like These - Acoustic Version,Foo Fighters,00020225,59,0.588,0.559,4,-4.849,0,0.0272,0.128,0.0,0.0977,0.278,123.845,238587,4,rock
Walk On the Wild Side,Lou Reed,Transformer,70,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,4,rock
Cult of Personality,Living Colour,Vivid (Expanded Edition),64,0.504,0.918,0,-3.463,1,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,294827,4,rock
Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),70,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,295387,4,rock
Where Is My Mind? - Remastered,Pixies,Surfer Rosa,76,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973,4,rock
What Is Life - 2014 Remaster,George Harrison,All Things Must Pass (2014 Remaster),59,0.471,0.84,4,-5.929,1,0.0319,0.00651,0.000249,0.315,0.892,131.353,264406,4,rock
Blitzkrieg Bop - 2016 Remaster,Ramones,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),70,0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701,134467,4,rock
Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,Goodbye Yellow Brick Road (Remastered),64,0.513,0.979,0,-6.362,1,0.0425,0.0195,0.0951,0.0906,0.94,152.875,295466,4,rock
For What It's Worth,Buffalo Springfield,Buffalo Springfield,75,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4,rock
Riders on the Storm,The Doors,L.A. Woman,70,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,434720,4,rock
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,76,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,4,rock
Jane Says,Jane's Addiction,Nothing's Shocking,62,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,287000,4,rock
School's Out,Alice Cooper,School's Out,65,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,210107,4,rock
Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),74,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4,rock
London Calling - Remastered,The Clash,London Calling (Remastered),69,0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,200480,4,rock
Purple Rain,Prince,Purple Rain,72,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787,4,rock
Lust For Life,Iggy Pop,Lust For Life,62,0.383,0.97,9,-5.638,1,0.0435,0.0276,0.0,0.0942,0.62,101.603,313926,4,rock
Brass in Pocket - 2006 Remaster,Pretenders,Pretenders,57,0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,185960,4,rock
Piece of My Heart,Big Brother & The Holding Company,Cheap Thrills,65,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,253333,4,rock
Funk #49,James Gang,Rides Again,59,0.652,0.94,2,-7.927,1,0.0776,0.0398,0.782,0.0567,0.72,91.242,246293,4,rock
The Spirit Of Radio,Rush,Permanent Waves,62,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,296467,4,rock
Crazy On You,Heart,Dreamboat Annie,63,0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,293440,4,rock
We Got The Beat - 2011 Remaster,The Go-Go's,Beauty And The Beat (30th Anniversary Deluxe Edition),50,0.595,0.996,2,-3.418,1,0.0599,0.195,0.0345,0.0351,0.376,152.049,151107,4,rock
Tumbling Dice,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),61,0.615,0.91,11,-4.248,1,0.0347,0.5,0.511,0.281,0.77,111.013,226333,4,rock
Godzilla,Blue Öyster Cult,Spectres,60,0.373,0.869,4,-7.719,1,0.0554,0.164,7.76e-06,0.605,0.696,184.024,221400,4,rock
Rebel Yell,Billy Idol,Rebel Yell,71,0.53,0.864,4,-4.948,0,0.061,0.000753,0.000459,0.354,0.484,166.312,288533,4,rock
Every Little Honky Tonk Bar,George Strait,Every Little Honky Tonk Bar,44,0.66,0.83,5,-5.099,1,0.029,0.292,0.0,0.141,0.856,122.079,194840,4,country
My Town,Montgomery Gentry,My Town,40,0.517,0.901,2,-5.681,1,0.0508,0.002,0.0,0.336,0.547,93.834,265733,4,country
Springsteen,Eric Church,Chief,70,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,4,country
Take A Back Road,Rodney Atkins,Take A Back Road,61,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902,209427,4,country
I Don't Have To Be Me ('Til Monday) - Single Version,Steve Azar,Waitin' On Joe,50,0.497,0.717,8,-4.224,1,0.0303,0.201,0.0,0.0458,0.771,168.999,196952,4,country
Mud On the Tires,Brad Paisley,Hits Alive,53,0.448,0.824,2,-5.508,1,0.0478,0.294,3.81e-05,0.662,0.463,185.217,206720,4,country
Then,Brad Paisley,American Saturday Night,59,0.493,0.643,0,-5.19,1,0.0299,0.512,2.43e-05,0.209,0.3,144.704,321640,4,country
Where I Come From,Montgomery Gentry,Rebels On The Run,62,0.62,0.852,1,-4.203,1,0.0308,0.0108,4.94e-06,0.279,0.479,90.038,201840,4,country
Wagon Wheel,Darius Rucker,True Believers,74,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,298373,4,country
She's Country,Jason Aldean,Wide Open,67,0.553,0.872,1,-2.832,0,0.0782,0.198,0.0,0.0659,0.638,172.138,220573,4,country
Does To Me (feat. Eric Church),Luke Combs,What You See Is What You Get,0,0.616,0.849,0,-4.897,1,0.0373,0.308,0.0,0.311,0.639,113.066,223320,4,country
Dirt On My Boots,Jon Pardi,California Sunrise,70,0.683,0.796,11,-4.179,1,0.0285,0.111,0.0,0.197,0.531,90.031,201893,4,country
Ol' Red,Blake Shelton,Blake Shelton,62,0.664,0.556,10,-7.713,1,0.0365,0.146,3.91e-06,0.113,0.494,75.049,221267,4,country
Good Directions,Billy Currington,Doin' Somethin' Right,68,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512,215853,4,country
It Ain't My Fault,Brothers Osborne,Pawn Shop,62,0.735,0.831,9,-5.898,1,0.0332,0.00166,0.217,0.291,0.756,123.017,216800,4,country
Greatest Love Story,LANCO,LANCO - EP,0,0.665,0.621,10,-8.571,1,0.0524,0.38,0.0,0.119,0.632,147.975,222400,4,country
God's Country,Blake Shelton,God's Country,66,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,205107,4,country
Some Of It,Eric Church,Desperate Man,55,0.56,0.736,0,-7.306,1,0.0446,0.341,9.81e-06,0.155,0.824,79.843,195147,4,country
Play It Again,Luke Bryan,Crash My Party,71,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,4,country
Get Along,Kenny Chesney,Songs for the Saints,64,0.632,0.804,7,-6.109,1,0.0503,0.101,0.0,0.17,0.35,92.456,199625,4,country
Head Over Boots,Jon Pardi,California Sunrise,71,0.563,0.688,7,-4.474,1,0.0262,0.0763,0.0,0.0863,0.622,108.008,202347,4,country
Dirt Road Anthem,Jason Aldean,My Kinda Party,69,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,229400,4,country
The Only Way I Know (with Luke Bryan and Eric Church),Jason Aldean,Night Train,55,0.511,0.798,7,-4.314,1,0.0498,0.227,6.51e-06,0.184,0.607,183.303,193187,4,country
Highway Don't Care,Tim McGraw,Two Lanes Of Freedom,61,0.47,0.79,2,-5.352,1,0.039,0.0216,0.0,0.0863,0.495,158.061,276880,4,country
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,Unleashed,64,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,195533,4,country
I Wish Grandpas Never Died,Riley Green,Different 'Round Here,64,0.445,0.492,6,-5.717,1,0.0294,0.036,0.0,0.122,0.24,148.013,250413,4,country
As She's Walking Away (feat. Alan Jackson) - Greatest Hits Version,Zac Brown Band,Greatest Hits So Far...,0,0.556,0.655,3,-5.909,1,0.031,0.46,0.0,0.12,0.334,183.981,223840,4,country
Five More Minutes,Scotty McCreery,Seasons Change,0,0.496,0.632,7,-4.933,1,0.0282,0.257,1.07e-06,0.109,0.278,156.034,241147,4,country
Free And Easy (Down The Road I Go),Dierks Bentley,Greatest Hits / Every Mile A Memory 2003 - 2008,54,0.557,0.825,6,-4.657,1,0.0283,0.00525,0.00164,0.177,0.841,120.017,201120,4,country
Goodnight Kiss,Randy Houser,How Country Feels,48,0.731,0.71,1,-4.285,1,0.0332,0.0382,9.92e-05,0.118,0.633,111.024,206800,4,country
Heartache Medication,Jon Pardi,Heartache Medication,53,0.621,0.791,9,-3.343,1,0.0265,0.0361,0.0,0.143,0.734,95.075,209110,4,country
People Are Crazy,Billy Currington,Little Bit Of Everything,63,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,231360,4,country
The Ones That Didn’t Make It Back Home,Justin Moore,Late Nights And Longnecks,57,0.537,0.784,3,-4.869,1,0.034,0.0979,0.0,0.224,0.468,137.995,191018,4,country
Even Though I'm Leaving,Luke Combs,What You See Is What You Get,0,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962,225253,4,country
In Between,Scotty McCreery,Seasons Change,0,0.592,0.928,11,-5.403,1,0.0557,0.0166,1.38e-05,0.123,0.391,121.997,221600,4,country
Rearview Town,Jason Aldean,Rearview Town,56,0.526,0.85,10,-4.47,0,0.0313,0.023,0.0,0.0948,0.338,141.973,184173,4,country
Love Someone,Brett Eldredge,Brett Eldredge,53,0.423,0.813,9,-5.011,1,0.0507,0.218,1.62e-06,0.0732,0.421,173.995,211720,4,country
Living,Dierks Bentley,The Mountain,58,0.517,0.813,1,-6.325,1,0.0558,0.0153,0.0,0.106,0.444,83.005,222147,4,country
Love Ain't,Eli Young Band,Love Ain't,57,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,186119,4,country
Yeah,Joe Nichols,Crickets,51,0.404,0.845,11,-4.647,1,0.049,0.00637,1.34e-05,0.357,0.591,165.703,231027,4,country
What Was I Thinkin',Dierks Bentley,Dierks Bentley,65,0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,260827,4,country
Heartache On The Dance Floor,Jon Pardi,California Sunrise,70,0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,205200,4,country
This Is It,Scotty McCreery,Seasons Change,0,0.557,0.511,8,-6.788,1,0.0291,0.254,0.0,0.099,0.602,156.042,230973,4,country
Red Dirt Road,Brooks & Dunn,Red Dirt Road,63,0.555,0.868,5,-3.798,1,0.0403,0.0664,0.000117,0.116,0.479,136.12,260360,4,country
Mr. Misunderstood,Eric Church,Mr. Misunderstood,51,0.385,0.808,7,-6.67,1,0.045,0.0629,0.0,0.33,0.546,129.22,319240,4,country
Drink In My Hand,Eric Church,Chief,69,0.626,0.913,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044,191307,4,country
Church Bells,Carrie Underwood,Storyteller,65,0.575,0.844,3,-1.772,0,0.0633,0.226,0.0,0.0538,0.542,87.007,193333,4,country
What I See,LANCO,Lessons Learned,0,0.531,0.637,2,-6.77,1,0.0279,0.0496,0.0,0.178,0.461,78.01,229686,4,country
Rumor,Lee Brice,Lee Brice,69,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,198440,4,country
"Woman, Amen",Dierks Bentley,The Mountain,54,0.484,0.804,5,-5.889,1,0.0912,0.000837,9.29e-06,0.17,0.391,119.838,179827,4,country
Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton,Based on a True Story... (Deluxe Edition),62,0.611,0.688,2,-6.369,1,0.0529,0.251,2.35e-06,0.248,0.649,169.895,288760,4,country
Up All Night,Jon Pardi,Write You A Song,56,0.549,0.713,9,-4.935,1,0.0306,0.185,0.0,0.112,0.463,162.989,209640,4,country
Every Storm (Runs Out Of Rain),Gary Allan,Set You Free,58,0.525,0.693,0,-6.972,1,0.0327,0.046,9.55e-06,0.247,0.363,107.012,225640,4,country
Aw Naw,Chris Young,A.M.,61,0.652,0.859,2,-3.746,1,0.0358,0.0639,0.0,0.0777,0.491,109.971,188707,4,country
Hard To Love,Lee Brice,Hard 2 Love,65,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,4,country
Before He Cheats,Carrie Underwood,Some Hearts,76,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,199947,4,country
There Was This Girl,Riley Green,Different 'Round Here,63,0.616,0.877,1,-4.223,1,0.0347,0.00258,2.56e-06,0.114,0.94,127.981,194427,4,country
Live Like You Were Dying,Tim McGraw,Live Like You Were Dying,65,0.416,0.546,7,-7.728,1,0.0297,0.492,0.0,0.0845,0.418,159.929,300333,4,country
Whatever It Is (Greatest Hits Version),Zac Brown Band,Greatest Hits So Far...,0,0.648,0.582,1,-6.662,1,0.0282,0.422,2.13e-05,0.106,0.704,83.893,208347,4,country
I Hold On,Dierks Bentley,RISER,61,0.614,0.715,0,-6.451,1,0.0445,0.0849,0.000316,0.102,0.231,117.956,279533,4,country
I Don't Want This Night To End,Luke Bryan,Tailgates & Tanlines,1,0.616,0.728,9,-4.02,0,0.0278,0.0275,0.0,0.228,0.375,111.934,219973,4,country
Are You Gonna Kiss Me Or Not,Thompson Square,Thompson Square,63,0.485,0.701,8,-3.807,1,0.0288,0.039,0.0,0.0977,0.613,151.948,184920,4,country
Colder Weather,Zac Brown Band,You Get What You Give (Deluxe),0,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,273893,4,country
Something to Be Proud Of,Montgomery Gentry,You Do Your Thing,58,0.645,0.693,0,-6.481,1,0.0344,0.0811,1.22e-05,0.175,0.553,97.555,256600,4,country
Somethin' 'Bout A Truck,Kip Moore,Up All Night,65,0.554,0.794,11,-5.417,1,0.035,0.0697,0.0,0.63,0.79,176.01,213827,4,country
Hell Yeah,Montgomery Gentry,My Town,48,0.372,0.872,0,-6.651,1,0.056,0.0185,0.0,0.368,0.65,173.525,289560,4,country
Hurricane,Luke Combs,This One's for You,73,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,222533,4,country
Somebody Like You,Keith Urban,Golden Road,66,0.624,0.84,4,-5.768,1,0.0337,0.108,0.000546,0.144,0.656,111.02,323040,4,country
As Good As I Once Was,Toby Keith,Honkytonk University,66,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,227840,4,country
Small Town USA,Justin Moore,Justin Moore,56,0.594,0.601,6,-5.996,1,0.029,0.122,5.69e-06,0.181,0.531,131.931,218853,4,country
Need You Now,Lady A,Need You Now,69,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4,country
Boondocks,Little Big Town,The Road To Here,65,0.41,0.78,9,-5.391,1,0.0332,0.211,0.0,0.48,0.695,88.016,272347,4,country
Drinkin' Problem,Midland,On The Rocks,67,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,220800,4,country
Beautiful Mess,Diamond Rio,Greatest Hits II,49,0.402,0.817,1,-3.756,1,0.0406,0.317,0.0,0.105,0.376,177.342,227920,4,country
Your Man,Josh Turner,Your Man,70,0.744,0.637,6,-4.483,1,0.0241,0.337,0.000222,0.0696,0.785,100.511,211893,4,country
Would You Go With Me,Josh Turner,Your Man,67,0.605,0.864,6,-5.365,1,0.0292,0.13,0.000827,0.113,0.736,122.918,228187,4,country
Sunny and 75,Joe Nichols,Crickets,55,0.531,0.893,0,-4.422,1,0.055,0.184,1.01e-06,0.101,0.323,120.045,206947,4,country
Everything's Gonna Be Alright,David Lee Murphy,No Zip Code,57,0.764,0.587,5,-7.002,0,0.0298,0.0721,6.45e-06,0.094,0.494,89.98,229573,4,country
Country Boy,Alan Jackson,Good Time,58,0.73,0.684,9,-10.803,1,0.0351,0.259,1.53e-06,0.111,0.564,139.037,246080,4,country
Something Like That,Tim McGraw,A Place In The Sun,67,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8,183733,4,country
Kerosene,Miranda Lambert,Kerosene,59,0.628,0.92,7,-3.252,1,0.0287,0.00687,5.34e-05,0.337,0.808,126.998,185800,4,country
Save a Horse (Ride a Cowboy),Big & Rich,Horse of a Different Color,65,0.7,0.896,2,-2.276,1,0.191,0.108,0.0,0.453,0.817,102.065,200307,4,country
Redneck Yacht Club,Craig Morgan,My Kind Of Livin',60,0.49,0.817,8,-5.405,1,0.0355,0.455,0.0,0.0885,0.808,168.115,230373,4,country
Hangin' On,Chris Young,Losing Sleep,53,0.434,0.831,8,-4.774,1,0.0453,0.0651,0.0,0.119,0.596,156.034,185440,4,country
White Liar,Miranda Lambert,Revolution,53,0.35,0.777,10,-4.33,1,0.0336,0.0499,0.000738,0.413,0.42,185.046,287760,4,country
God Gave Me You,Blake Shelton,Red River Blue (Deluxe Edition),58,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,229533,4,country
Give It Away,George Strait,It Just Comes Natural,62,0.674,0.646,5,-5.876,1,0.027,0.486,8.37e-05,0.262,0.613,148.1,209320,4,country
Save It for a Rainy Day,Kenny Chesney,The Big Revival,57,0.538,0.775,7,-5.48,1,0.0291,0.0053,0.0,0.0807,0.614,154.889,182213,4,country
Runnin' Outta Moonlight,Randy Houser,How Country Feels,63,0.526,0.801,2,-3.717,1,0.0393,0.0354,3.17e-06,0.0637,0.769,172.024,193773,4,country
It Must Be Love,Alan Jackson,34 Number Ones,52,0.816,0.669,6,-7.925,1,0.0295,0.284,0.0,0.0563,0.967,112.132,171813,4,country
Drive (For Daddy Gene),Alan Jackson,Drive,63,0.713,0.579,11,-8.066,1,0.0413,0.338,0.0,0.174,0.511,125.179,242733,4,country
Long Black Train,Josh Turner,Long Black Train,58,0.537,0.699,10,-6.615,1,0.0399,0.237,2.27e-05,0.114,0.814,84.905,250627,4,country
International Harvester,Craig Morgan,Little Bit Of Life,59,0.699,0.837,2,-5.173,1,0.0428,0.103,0.0,0.231,0.348,95.493,228653,4,country
Drowns The Whiskey (feat. Miranda Lambert),Jason Aldean,Rearview Town,58,0.552,0.698,8,-4.817,1,0.0306,0.294,0.000103,0.0905,0.6,90.006,202067,4,country
Summertime,Kenny Chesney,The Road And The Radio,58,0.48,0.928,4,-5.501,1,0.0899,0.169,0.0,0.0479,0.713,167.986,206587,4,country
Beer In Mexico,Kenny Chesney,The Road And The Radio,54,0.58,0.906,2,-6.976,1,0.0405,0.00119,0.000579,0.0933,0.476,137.97,271813,4,country
Home,Dierks Bentley,Home,43,0.61,0.69,11,-7.157,1,0.0378,0.463,0.0409,0.0842,0.462,118.038,238413,4,country
One Number Away,Luke Combs,This One's for You,69,0.544,0.781,6,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075,221800,4,country
Nobody To Blame,Chris Stapleton,Traveller,60,0.534,0.666,9,-9.471,1,0.0335,0.0143,0.0615,0.113,0.59,87.401,244147,4,country
Ain't Always The Cowboy,Jon Pardi,Heartache Medication,60,0.539,0.837,9,-3.458,1,0.0385,0.0094,0.0,0.262,0.551,151.913,220881,4,country
Whiskey Lullaby (feat. Alison Krauss),Brad Paisley,Hits Alive,60,0.587,0.35,2,-10.954,1,0.0318,0.74,0.0,0.156,0.17,74.479,259453,4,country
What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,69,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,188253,4,country
She's Everything,Brad Paisley,Time Well Wasted,61,0.355,0.478,0,-8.323,1,0.0334,0.569,2.88e-06,0.194,0.271,102.967,266920,4,country
Here For A Good Time,George Strait,Here For A Good Time,61,0.596,0.768,6,-6.753,1,0.0369,0.0858,6.23e-06,0.116,0.532,127.93,180267,4,country
She Got the Best of Me,Luke Combs,This One's for You Too (Deluxe Edition),75,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,4,country
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,You Get What You Give,0,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173,4,country
Burn Out,Midland,On The Rocks,61,0.671,0.724,7,-5.61,1,0.0244,0.292,0.0,0.231,0.801,99.976,188613,4,country
Don't Think I Don't Think About It,Darius Rucker,Learn To Live,55,0.578,0.752,9,-5.264,1,0.033,0.0275,0.0,0.125,0.405,149.689,183307,4,country
You're Gonna Miss This,Trace Adkins,American Man: Greatest Hits Vol. II,61,0.5,0.665,8,-7.157,1,0.0355,0.0237,6.41e-05,0.0994,0.32,154.997,224960,4,country
Alright,Darius Rucker,Learn To Live,67,0.601,0.806,7,-4.579,1,0.0345,0.0527,0.0,0.185,0.711,89.87,231920,4,country
Big Green Tractor,Jason Aldean,Wide Open,64,0.623,0.59,4,-5.014,1,0.028,0.646,0.0,0.295,0.579,137.071,204200,4,country
Night Shift,Jon Pardi,California Sunrise,72,0.63,0.754,2,-3.564,1,0.0284,0.0963,0.0,0.268,0.73,95.999,172253,4,country
All Over The Road,Easton Corbin,All Over The Road,63,0.491,0.841,5,-3.579,1,0.0421,0.0471,0.0,0.0886,0.721,199.851,163067,4,country
I'm Gonna Miss Her,Brad Paisley,Part II,60,0.559,0.464,6,-9.687,1,0.0272,0.55,0.0,0.107,0.351,98.354,194307,4,country
Song for Another Time,Old Dominion,Meat and Candy,58,0.498,0.804,11,-3.995,1,0.0332,0.125,0.0,0.167,0.697,166.054,191827,4,country
What Hurts The Most,Rascal Flatts,Me And My Gang,66,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,214107,4,country
Stay A Little Longer,Brothers Osborne,Pawn Shop,62,0.557,0.886,6,-5.356,1,0.0302,0.0377,0.108,0.163,0.545,96.989,335480,4,country
My Next Thirty Years,Tim McGraw,A Place In The Sun,51,0.605,0.804,5,-7.521,1,0.0363,0.265,4.93e-06,0.345,0.601,98.866,217733,4,country
Watching Airplanes,Gary Allan,Living Hard,58,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001,242947,4,country
Beer With Jesus,Thomas Rhett,It Goes Like This,42,0.523,0.382,8,-8.386,1,0.0274,0.133,0.0,0.11,0.274,77.925,255387,4,country
Cowboys and Angels,Dustin Lynch,Dustin Lynch,59,0.355,0.55,10,-5.772,1,0.0285,0.245,3.2e-05,0.0979,0.26,73.842,227720,4,country
Parachute,Chris Stapleton,Traveller,69,0.642,0.762,6,-7.411,1,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,253200,4,country
Fly Over States,Jason Aldean,My Kinda Party,59,0.487,0.736,7,-3.269,1,0.0326,0.069,0.0,0.114,0.184,81.587,218200,4,country
Someone Else Calling You Baby,Luke Bryan,Doin' My Thing,55,0.498,0.916,8,-3.728,1,0.0662,0.052,1.31e-06,0.0734,0.352,115.045,229253,4,country
Beautiful Crazy,Luke Combs,This One's for You Too (Deluxe Edition),77,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4,country
Shotgun Rider,Tim McGraw,Sundown Heaven Town,56,0.468,0.904,7,-4.574,1,0.0494,0.126,3.89e-06,0.165,0.7,167.998,235387,4,country
A Woman Like You,Lee Brice,Hard 2 Love,56,0.592,0.584,7,-7.422,1,0.0305,0.245,0.0,0.0862,0.371,160.048,209787,4,country
Three Wooden Crosses,Randy Travis,Rise and Shine,41,0.534,0.547,1,-7.915,1,0.0323,0.498,0.0,0.0897,0.423,158.006,201240,4,country
Austin,Blake Shelton,Blake Shelton,60,0.605,0.609,7,-7.063,1,0.0278,0.188,0.0,0.0982,0.275,119.914,230333,4,country
A Little More Country Than That,Easton Corbin,Easton Corbin,58,0.64,0.6,11,-8.534,1,0.0318,0.0795,1.5e-06,0.106,0.593,84.969,172227,4,country
Tomorrow,Chris Young,Neon,62,0.441,0.644,11,-5.774,1,0.0363,0.56,0.0,0.109,0.349,141.733,220173,4,country
I'm Comin' Over,Chris Young,I'm Comin' Over,63,0.575,0.845,10,-3.838,1,0.035,0.0282,0.0,0.0814,0.376,127.997,197280,4,country
All My Friends Say,Luke Bryan,I'll Stay Me,56,0.683,0.9,9,-4.422,1,0.0333,0.0439,0.0,0.177,0.962,117.036,242800,4,country
Give Me Back My Hometown,Eric Church,The Outsiders,51,0.621,0.676,1,-7.808,1,0.0303,0.506,0.0675,0.0825,0.482,104.008,252493,4,country
How I'll Always Be,Tim McGraw,Damn Country Music,46,0.578,0.825,2,-4.693,1,0.0331,0.312,1.4e-05,0.0912,0.654,93.035,213453,4,country
Diamond In My Pocket,Cody Johnson,A Different Day,65,0.546,0.838,7,-3.51,1,0.0319,0.27,1.24e-05,0.0841,0.719,151.914,196907,4,country
Think of You,Chris Young,I'm Comin' Over,60,0.616,0.893,11,-3.588,1,0.0375,0.000937,0.0,0.111,0.567,111.959,218947,4,country
In Color,Jamey Johnson,That Lonesome Song,67,0.544,0.404,3,-8.751,1,0.0354,0.391,3.98e-06,0.157,0.251,129.518,290680,4,country
Toes,Zac Brown Band,The Foundation,1,0.801,0.759,11,-5.398,1,0.0378,0.657,0.0,0.0897,0.821,129.971,262773,4,country
Blown Away,Carrie Underwood,Blown Away,62,0.531,0.843,9,-2.569,0,0.0429,0.0909,0.0,0.0283,0.392,136.991,240133,4,country
